pT,pT_low,pT_high,y_true,y_synthetic,log_error_draw,sigma_corr_true_abs,sigma_noise_true_abs
0.11,0.1,0.12,2049.8,2327.9019330974083,0.12722517660842655,163.984,51.245000000000005
0.13,0.12,0.14,2187.3,2348.6471173418117,0.07117156113369685,174.984,54.682500000000005
0.15000000000000002,0.14,0.16,2291.6,2576.7377564261833,0.11727389981445581,183.328,57.29
0.16999999999999998,0.16,0.18,2357.6,2590.9396886590725,0.09437647162304086,188.608,58.94
0.19,0.18,0.2,2384.7,2659.6824138696925,0.10913339211855227,190.77599999999998,59.6175
0.225,0.2,0.25,2356.9,2601.3424257852225,0.09868043315085841,188.55200000000002,58.92250000000001
0.275,0.25,0.3,2250.6,2490.5682689404007,0.1013140575625225,180.048,56.265
0.32499999999999996,0.3,0.35,2306.0,2372.7123928010005,0.02851934843045051,184.48,57.650000000000006
0.375,0.35,0.4,2131.4,2140.3151383647737,0.0041740383053357755,170.512,53.285000000000004
0.42500000000000004,0.4,0.45,1937.2,2102.290746037764,0.08178395010468317,154.976,48.43000000000001
0.475,0.45,0.5,1748.5,1853.5393393317427,0.0583386902115928,139.88,43.712500000000006
0.525,0.5,0.55,1556.7,1517.0313426725236,-0.025812834949208177,124.536,38.917500000000004
0.575,0.55,0.6,1382.8,1421.2491451856554,0.02742573556460979,110.624,34.57
0.625,0.6,0.65,1227.3,1236.8969288440924,0.007789131828418887,98.184,30.6825
0.675,0.65,0.7,1098.9,1078.855253664164,-0.018409150790168517,87.912,27.472500000000004
0.725,0.7,0.75,991.06,971.9654592652973,-0.019454809307617414,79.2848,24.7765
0.775,0.75,0.8,890.56,856.4060548036549,-0.03910585158200426,71.2448,22.264
0.825,0.8,0.85,798.43,799.993857564308,0.001956750152209308,63.874399999999994,19.96075
0.875,0.85,0.9,717.64,757.7418802045605,0.05437474966393876,57.4112,17.941
0.925,0.9,0.95,646.49,661.233519275641,0.02254932908301345,51.7192,16.16225
0.975,0.95,1.0,579.66,567.5735299693673,-0.021071415567193434,46.3728,14.4915
1.05,1.0,1.1,488.6,496.5241647791713,0.01608799372732274,39.088,12.215000000000002
1.15,1.1,1.2,376.55,358.0254912752387,-0.05044665200215547,30.124000000000002,9.41375
1.25,1.2,1.3,313.76,312.8769089447623,-0.00281851141303361,25.1008,7.844
1.35,1.3,1.4,249.63,225.91124531963595,-0.0998376192674078,19.9704,6.24075
1.45,1.4,1.5,199.13,185.9127750549711,-0.06868026536680034,15.9304,4.97825
1.55,1.5,1.6,159.51,143.24508492526792,-0.10754957234556395,12.7608,3.98775
1.65,1.6,1.7,126.83,112.23056606654048,-0.12229222625617306,10.1464,3.17075
1.75,1.7,1.8,102.06,92.43271476893663,-0.09907990371032871,8.1648,2.5515000000000003
1.85,1.8,1.9,80.97,73.86140116358519,-0.09188833592030272,6.4776,2.02425
1.95,1.9,2.0,65.188,61.652364238967685,-0.05576382466372472,5.21504,1.6297000000000001
2.1,2.0,2.2,45.736,43.80746671067986,-0.0430814582615421,3.65888,1.1434
2.3,2.2,2.4,29.707,30.98476569316331,0.04211294616765528,2.37656,0.7426750000000001
2.5,2.4,2.6,19.477,20.827201697160657,0.06702562396999447,1.55816,0.48692500000000005
2.7,2.6,2.8,12.927,12.804662232818954,-0.00950880575542881,1.03416,0.323175
2.9,2.8,3.0,8.6974,9.116019089261282,0.04700907499934455,0.695792,0.21743500000000002
3.1,3.0,3.2,5.8994,6.880123543555365,0.15378595787100502,0.471952,0.147485
3.3,3.2,3.4,4.0483,4.570504248722966,0.12132649779723648,0.32386400000000004,0.1012075
3.5,3.4,3.6,2.8037,2.836522576042534,0.01163888343809804,0.22429600000000002,0.0700925
3.7,3.6,3.8,1.9901,2.131077539719938,0.06844285026587628,0.159208,0.049752500000000005
3.9,3.8,4.0,1.4312,1.6186578318372709,0.12308405377117147,0.114496,0.03578
4.25,4.0,4.5,0.85377,0.7810320965245312,-0.08904559097452308,0.0683016,0.021344250000000002
4.75,4.5,5.0,0.43378,0.37730059844079133,-0.13949528005150955,0.0347024,0.0108445
5.25,5.0,5.5,0.24406,0.22447710147169325,-0.08364039262244058,0.019524800000000002,0.0061015
5.75,5.5,6.0,0.1475,0.1394045314726717,-0.056448171004232384,0.0118,0.0036875
6.25,6.0,6.5,0.097556,0.0978568129308877,0.0030787455948758976,0.007804480000000001,0.0024389000000000004
6.75,6.5,7.0,0.067227,0.06683106811234557,-0.0059068886258738535,0.00537816,0.001680675
7.5,7.0,8.0,0.041627,0.038636222238673024,-0.07455875877996937,0.00333016,0.001040675
8.5,8.0,9.0,0.023737,0.023832238797220153,0.004004223186309591,0.00189896,0.0005934250000000001
