pT,y_true,y_synthetic,gp_mean,ratio_gp_mean_over_synthetic,true_uncorrelated_sigma,gp_uncorrelated_sigma,ratio_gp_uncorr_over_true,true_correlated_sigma,gp_correlated_sigma,ratio_gp_corr_over_true
0.11,2049.8,2327.9019330974083,3153.2062302688073,1.3545270895811679,51.245000000000005,311.5532002140484,6.079679972954403,163.984,105.37523569701966,0.6425946171395969
0.13,2187.3,2348.6471173418117,3038.6954022371115,1.2938067110210636,54.682500000000005,300.23893393169556,5.490585359698176,174.984,98.19083470106014,0.56114178839814
0.15000000000000002,2291.6,2576.7377564261833,2927.7979662244943,1.1362421181289382,57.29,289.2816896025423,5.049427292765619,183.328,91.50469936083165,0.4991310621445259
0.16999999999999998,2357.6,2590.9396886590725,2820.4293375488214,1.0885739061755313,58.94,278.6731098194026,4.728081266023119,188.608,85.28858029646779,0.4522002263767591
0.19,2384.7,2659.6824138696925,2716.5053733792256,1.0213645656388195,59.6175,268.4048808322972,4.502115667921284,190.77599999999998,79.51542389132155,0.41679993233594137
0.225,2356.9,2601.3424257852225,2542.6760137757915,0.9774476395618226,58.92250000000001,251.22963464772025,4.263730063179944,188.55200000000002,70.40096612061024,0.37337692583801935
0.275,2250.6,2490.5682689404007,2311.326978871904,0.9280319707338301,56.265,228.37114493054332,4.058849105670369,180.048,59.33932848744498,0.32957504936153126
0.32499999999999996,2306.0,2372.7123928010005,2098.8145596944278,0.8845634077111071,57.650000000000006,207.37381096475073,3.5971172760581216,184.48,50.27093188521364,0.2725007149025024
0.375,2131.4,2140.3151383647737,1903.907203451959,0.8895452680424281,53.285000000000004,188.11594891954473,3.5303734431743403,170.512,42.88178675771854,0.2514883806284516
0.42500000000000004,1937.2,2102.290746037764,1725.4141271751098,0.8207304962108773,48.43000000000001,170.47990323490777,3.520130151453804,154.976,36.889500320270045,0.23803363308041275
